timestamp,key-value
1726849291.6029592,Key.cmd
1726849291.695273,Key.tab
1726849294.599474,Key.shift
1726849294.8724911,S
1726849295.61184,s
1726849296.0870662,s
1726849296.335696,s
1726849296.352329,s
1726849296.370579,s
1726849296.385658,s
1726849296.4026392,s
1726849296.420108,s
1726849296.43744,s
1726849296.453653,s
1726849296.4693491,s
1726849296.488013,s
1726849296.501785,s
1726849296.520129,s
1726849296.536046,s
1726849296.5523489,s
1726849296.57042,s
1726849296.5870569,s
1726849296.605366,s
1726849296.618221,s
1726849296.6351628,s
1726849296.652843,s
1726849296.669483,s
1726849296.68572,s
1726849296.702304,s
1726849296.7224588,s
1726849296.736505,s
1726849296.7534778,s
1726849296.769919,s
1726849296.787881,s
1726849296.802859,s
1726849296.819136,s
1726849296.835737,s
1726849296.852885,s
1726849296.872192,s
1726849296.885841,s
1726849296.904327,s
1726849296.919704,s
1726849296.9361541,s
1726849296.953986,s
1726849296.9713778,s
1726849296.986184,s
1726849297.002346,s
1726849297.020309,s
1726849297.040628,s
1726849297.052705,s
1726849297.0697658,s
1726849297.086134,s
1726849297.1041238,s
1726849297.119423,s
1726849297.137716,s
1726849297.153598,s
1726849297.173905,s
1726849297.1866539,s
1726849297.204076,s
1726849297.221119,s
1726849297.238283,s
1726849297.254843,s
1726849297.272393,s
1726849297.287411,s
1726849297.308277,s
1726849297.325771,s
1726849297.3485801,s
1726849297.3548641,s
1726849297.375637,s
1726849297.3887382,s
1726849297.4048152,s
1726849297.423948,s
1726849297.438859,s
1726849297.462482,s
1726849297.474402,s
1726849297.489612,s
1726849297.507762,s
1726849297.5241961,s
1726849297.539944,s
1726849297.556704,s
1726849297.573558,s
1726849297.589783,s
1726849297.6065211,s
1726849297.631246,s
1726849297.641492,s
1726849297.6532109,a
1726849297.904433,a
1726849297.921973,a
1726849297.941476,a
1726849297.95419,a
1726849297.97282,a
1726849297.988297,a
1726849298.005086,a
1726849298.021891,a
1726849298.0389419,a
1726849298.0556438,a
1726849298.0732968,a
1726849298.089668,a
1726849298.1071901,a
1726849298.124296,a
1726849298.1404412,a
1726849298.158776,a
1726849298.174247,a
1726849298.1931021,a
1726849298.20754,a
1726849298.2236009,a
1726849298.240151,a
1726849298.2575722,a
1726849298.277219,a
1726849298.2925599,a
1726849298.309134,a
1726849298.324964,a
1726849298.340301,a
1726849298.357003,a
1726849298.373719,a
1726849298.3940039,a
1726849298.407061,a
1726849298.427454,a
1726849298.440714,a
1726849298.461581,a
1726849298.475211,a
1726849298.492157,a
1726849298.508275,a
1726849298.526627,a
1726849298.543527,a
1726849298.55842,a
1726849298.577736,a
1726849298.592632,a
1726849298.609735,a
1726849298.626025,a
1726849298.648706,a
1726849298.660395,a
1726849298.6782348,a
1726849298.6934988,a
1726849298.710913,a
1726849298.727747,a
1726849298.744441,a
1726849299.1409228,w
1726849299.391365,w
1726849299.409042,w
1726849299.428527,w
1726849299.441888,w
1726849299.4583402,w
1726849299.474251,w
1726849299.4910588,w
1726849299.509016,w
1726849299.529693,w
1726849299.544649,w
1726849299.559854,w
1726849299.5778089,w
1726849299.593861,w
1726849299.609768,w
1726849299.6280162,w
1726849299.644521,w
1726849299.6617448,w
1726849299.678559,w
1726849299.6940072,w
1726849299.7105632,w
1726849299.728502,w
1726849299.744101,w
1726849299.766525,w
1726849299.777236,w
1726849299.798101,w
1726849299.811167,w
1726849299.82745,w
1726849299.844466,w
1726849299.860706,w
1726849299.877922,w
1726849299.894672,w
1726849299.910974,w
1726849299.927392,w
1726849299.944833,w
1726849299.9608479,w
1726849299.977526,w
1726849299.9961169,w
1726849300.011279,w
1726849300.027649,w
1726849300.0542212,w
1726849300.059933,w
1726849300.077327,w
1726849300.0942771,w
1726849300.1108842,w
1726849300.127678,w
1726849300.143751,w
1726849300.1609468,w
1726849300.1799092,w
1726849300.1950421,w
1726849300.210745,w
1726849300.2272792,w
1726849300.243891,w
1726849300.260753,w
1726849300.2776692,w
1726849300.29405,w
1726849300.31535,w
1726849300.329203,w
1726849300.343956,w
1726849300.360737,w
1726849300.377214,w
1726849300.394329,w
1726849300.411114,w
1726849300.427882,w
1726849300.446203,w
1726849300.4614232,w
1726849300.477997,w
1726849300.495002,w
1726849300.511115,w
1726849300.527573,w
1726849300.53404,a
1726849302.0257258,a
1726849302.2758,a
1726849302.295184,a
1726849302.309679,a
1726849302.327289,a
1726849302.342228,a
1726849302.360645,a
1726849302.3759081,a
1726849302.3956742,a
1726849302.4103942,a
1726849302.427901,a
1726849302.444035,a
1726849302.461313,a
1726849303.12004,a
1726849303.9438772,a
1726849304.191712,a
1726849304.208878,a
1726849304.226022,a
1726849304.243459,a
1726849305.917701,d
1726849306.9169211,a
1726849307.1573792,a
1726849307.172906,a
1726849307.190806,a
1726849307.2066,a
1726849307.2247,a
1726849307.239831,a
1726849307.2565172,a
1726849307.2744079,a
1726849307.29015,a
1726849307.3082209,a
1726849307.323702,a
1726849307.340956,a
1726849307.356853,a
1726849307.373376,a
1726849307.390461,a
1726849307.406723,a
1726849307.427339,a
1726849307.4401112,a
1726849307.459646,a
1726849307.473265,a
1726849307.494003,a
1726849307.5072389,a
1726849307.5234199,a
1726849307.540737,a
1726849307.557525,a
1726849307.5741398,a
1726849307.590297,a
1726849307.606663,a
1726849307.623863,a
1726849307.640722,a
1726849307.656551,a
1726849307.673606,a
1726849307.6911411,a
1726849307.706721,a
1726849307.725203,a
1726849307.7405171,a
1726849307.756639,a
1726849307.780434,a
1726849307.792171,a
1726849307.808606,a
1726849307.823952,a
1726849307.844146,a
1726849307.860544,a
1726849307.874423,a
1726849307.8897479,a
1726849307.9067142,a
1726849307.923251,a
1726849307.939829,a
1726849307.957091,a
1726849307.973324,a
1726849307.99168,a
1726849308.006568,a
1726849308.02338,a
1726849308.0399208,a
1726849308.0575628,a
1726849308.07441,a
1726849308.092038,a
1726849308.1096,a
1726849308.125851,a
1726849308.143232,a
1726849308.1602502,a
1726849308.172541,a
1726849308.190507,a
1726849308.206662,a
1726849308.225826,a
1726849308.240597,a
1726849308.256402,a
1726849308.274498,a
1726849308.29143,a
1726849308.30636,a
1726849308.3236392,a
1726849308.341205,a
1726849308.357066,a
1726849308.37487,a
1726849308.390047,a
1726849308.406893,a
1726849308.4280572,a
1726849308.4403121,a
1726849308.457104,a
1726849308.4732711,a
1726849309.2253902,a
1726849309.9773598,d
1726849311.350464,a
1726849312.3218172,d
1726849313.352913,a
1726849314.0772219,d
1726849314.698251,d
1726849315.249166,a
1726849317.8096662,d
1726849318.064065,d
1726849318.078774,d
1726849318.0938509,d
1726849318.1130939,d
1726849318.130091,d
1726849318.147101,d
1726849318.1640189,d
1726849318.1824598,d
1726849318.1994529,d
1726849318.217376,d
1726849318.2336771,d
1726849318.248115,d
1726849318.2667332,d
1726849318.2815769,d
1726849318.302879,d
1726849318.315201,d
1726849318.3332438,d
1726849318.3494022,d
1726849318.365605,d
1726849318.382286,d
1726849318.3981051,d
1726849318.414937,d
1726849318.4327848,d
1726849318.449488,d
1726849318.467952,d
1726849318.48246,d
1726849318.505363,d
1726849318.514344,d
1726849318.531691,d
1726849318.548765,d
1726849318.565759,d
1726849318.582258,d
1726849318.5981262,d
1726849318.6162539,d
1726849318.630711,d
1726849318.647735,d
1726849318.6646469,d
1726849318.685363,d
1726849318.6985211,d
1726849318.714689,d
1726849318.7317498,d
1726849318.748596,d
1726849318.7664828,d
1726849318.783957,d
1726849318.798539,d
1726849318.815465,d
1726849318.8319302,d
1726849318.8490958,d
1726849318.866587,d
1726849318.8850849,d
1726849318.899643,d
1726849318.916425,d
1726849318.9315012,d
1726849318.949297,d
1726849318.966487,d
1726849318.982572,d
1726849318.9992719,d
1726849319.014984,d
1726849319.033931,d
1726849319.048531,d
1726849319.067287,d
1726849319.083758,d
1726849319.099384,d
1726849319.1157608,d
1726849319.133014,d
1726849320.709923,a
1726849320.96208,a
1726849320.9790552,a
1726849320.998635,a
1726849321.0110521,a
1726849321.028367,a
1726849321.044477,a
1726849321.060798,a
1726849321.078567,a
1726849321.094851,a
1726849321.1145332,a
1726849321.128151,a
1726849321.146059,a
1726849321.160939,a
1726849321.180595,a
1726849321.194409,a
1726849321.211564,a
1726849321.228677,a
1726849321.245266,a
1726849321.2617128,a
1726849321.2772841,a
1726849321.294679,a
1726849321.313364,a
1726849321.3295639,a
1726849321.4519591,s
1726849321.70299,s
1726849321.71893,s
1726849321.7386281,s
1726849321.7525802,s
1726849321.769245,s
1726849321.7859042,s
1726849321.8031518,s
1726849321.82245,s
1726849321.838073,s
1726849321.855873,s
1726849321.8715289,s
1726849321.891487,s
