timestamp,key-name,key-char,key-vk,event-type,duration
1728381729.7366421,space,,49,key down,
1728381729.828363,space,,49,key up,0.0917208194732666
1728381730.288364,space,,49,key down,
1728381730.328319,space,,49,key up,0.03995513916015625
1728381730.441071,space,,49,key down,
1728381730.481285,space,,49,key up,0.04021406173706055
1728381730.596498,space,,49,key down,
1728381730.676403,space,,49,key up,0.07990503311157227
1728381730.915623,space,,49,key down,
1728381730.9638028,space,,49,key up,0.04817986488342285
1728381731.3019881,space,,49,key down,
1728381731.3378549,space,,49,key up,0.035866737365722656
1728381731.471754,space,,49,key down,
1728381731.5198238,space,,49,key up,0.04806971549987793
1728381731.628203,space,,49,key down,
1728381731.688183,space,,49,key up,0.059980154037475586
1728381731.804317,space,,49,key down,
1728381731.8722901,space,,49,key up,0.06797313690185547
1728381732.187382,space,,49,key down,
1728381732.243474,space,,49,key up,0.056092023849487305
1728381732.609206,space,,49,key down,
1728381732.65121,space,,49,key up,0.04200410842895508
1728381733.285194,space,,49,key down,
1728381733.325494,space,,49,key up,0.04030013084411621
1728381733.447723,space,,49,key down,
1728381733.480125,space,,49,key up,0.03240203857421875
1728381733.5819662,space,,49,key down,
1728381733.62715,space,,49,key up,0.04518389701843262
1728381733.726221,space,,49,key down,
1728381733.770068,space,,49,key up,0.043846845626831055
1728381733.874122,space,,49,key down,
1728381733.922001,space,,49,key up,0.04787898063659668
1728381734.03687,space,,49,key down,
1728381734.073627,space,,49,key up,0.03675699234008789
1728381734.186343,space,,49,key down,
1728381734.247025,space,,49,key up,0.060682058334350586
1728381734.6057348,space,,49,key down,
1728381734.6336021,space,,49,key up,0.02786731719970703
1728381734.83604,space,,49,key down,
1728381734.884182,space,,49,key up,0.0481419563293457
1728381735.000383,space,,49,key down,
1728381735.036354,space,,49,key up,0.03597116470336914
1728381735.147903,space,,49,key down,
1728381735.1996999,space,,49,key up,0.051796913146972656
1728381735.306337,space,,49,key down,
1728381735.3585541,space,,49,key up,0.05221700668334961
1728381735.475765,space,,49,key down,
1728381735.515692,space,,49,key up,0.039927005767822266
1728381735.635073,space,,49,key down,
1728381735.691048,space,,49,key up,0.05597496032714844
1728381736.0234199,space,,49,key down,
1728381736.048565,space,,49,key up,0.02514505386352539
1728381736.308409,space,,49,key down,
1728381736.351957,space,,49,key up,0.0435481071472168
1728381736.973736,space,,49,key down,
1728381737.021505,space,,49,key up,0.04776906967163086
1728381737.4483242,space,,49,key down,
1728381737.484183,space,,49,key up,0.035858869552612305
1728381737.602768,space,,49,key down,
1728381737.64672,space,,49,key up,0.043951988220214844
1728381737.778573,space,,49,key down,
1728381737.8144681,space,,49,key up,0.03589510917663574
1728381738.532595,space,,49,key down,
1728381738.5723531,space,,49,key up,0.03975820541381836
1728381739.087426,space,,49,key down,
1728381739.135245,space,,49,key up,0.04781913757324219
1728381739.2561731,space,,49,key down,
1728381739.2882502,space,,49,key up,0.03207707405090332
1728381739.420365,space,,49,key down,
1728381739.4562628,space,,49,key up,0.03589773178100586
1728381739.583623,space,,49,key down,
1728381739.623358,space,,49,key up,0.03973507881164551
1728381739.740009,space,,49,key down,
1728381739.785855,space,,49,key up,0.045845985412597656
1728381739.9126132,space,,49,key down,
1728381739.946783,space,,49,key up,0.034169912338256836
1728381740.072198,space,,49,key down,
1728381740.1201642,space,,49,key up,0.04796624183654785
1728381740.4998431,space,,49,key down,
1728381740.535692,space,,49,key up,0.03584885597229004
1728381740.678289,space,,49,key down,
1728381740.7144032,space,,49,key up,0.03611421585083008
1728381740.8463192,space,,49,key down,
1728381740.8764539,space,,49,key up,0.03013467788696289
1728381740.993311,space,,49,key down,
1728381741.0451999,space,,49,key up,0.05188894271850586
1728381741.16112,space,,49,key down,
1728381741.210589,space,,49,key up,0.049468994140625
1728381741.6681,space,,49,key down,
1728381741.703982,space,,49,key up,0.035881996154785156
1728381742.095783,space,,49,key down,
1728381742.127656,space,,49,key up,0.03187298774719238
1728381742.252446,space,,49,key down,
1728381742.2963672,space,,49,key up,0.04392123222351074
1728381742.417899,space,,49,key down,
1728381742.454015,space,,49,key up,0.03611612319946289
1728381742.5869372,space,,49,key down,
1728381742.635644,space,,49,key up,0.048706769943237305
1728381742.751976,space,,49,key down,
1728381742.803842,space,,49,key up,0.05186605453491211
1728381742.917509,space,,49,key down,
