timestamp,key-name,key-char,key-vk,event-type,duration
1728382369.2742012,space,,49,key down,
1728382369.352716,space,,49,key up,0.07851481437683105
1728382370.130952,space,,49,key down,
1728382370.178804,space,,49,key up,0.0478520393371582
1728382370.302044,space,,49,key down,
1728382370.355944,space,,49,key up,0.05390000343322754
1728382370.475948,space,,49,key down,
1728382370.523582,space,,49,key up,0.04763388633728027
1728382370.650254,space,,49,key down,
1728382370.70233,space,,49,key up,0.052076101303100586
1728382370.824546,space,,49,key down,
1728382370.88065,space,,49,key up,0.05610394477844238
1728382371.9390578,space,,49,key down,
1728382372.005025,space,,49,key up,0.06596708297729492
1728382373.139064,space,,49,key down,
1728382373.187062,space,,49,key up,0.04799795150756836
1728382373.315669,space,,49,key down,
1728382373.371661,space,,49,key up,0.05599188804626465
1728382373.5024252,space,,49,key down,
1728382373.5503309,space,,49,key up,0.047905683517456055
1728382373.681758,space,,49,key down,
1728382373.729824,space,,49,key up,0.048066139221191406
1728382373.8736398,space,,49,key down,
1728382373.917723,space,,49,key up,0.0440831184387207
1728382374.052808,space,,49,key down,
1728382374.100671,space,,49,key up,0.047863006591796875
1728382374.244873,space,,49,key down,
1728382374.3149388,space,,49,key up,0.07006573677062988
1728382375.2984169,space,,49,key down,
1728382375.3663669,space,,49,key up,0.06795001029968262
1728382376.333375,space,,49,key down,
1728382376.401459,space,,49,key up,0.0680840015411377
1728382376.524874,space,,49,key down,
1728382376.592903,space,,49,key up,0.06802892684936523
1728382376.715453,space,,49,key down,
1728382376.767468,space,,49,key up,0.052015066146850586
1728382376.895185,space,,49,key down,
1728382376.943381,space,,49,key up,0.04819607734680176
1728382377.0819929,space,,49,key down,
1728382377.142003,space,,49,key up,0.06001019477844238
1728382377.27068,space,,49,key down,
1728382377.3362088,space,,49,key up,0.06552886962890625
1728382377.4599192,space,,49,key down,
1728382377.51592,space,,49,key up,0.056000709533691406
1728382377.6438909,space,,49,key down,
1728382377.6876822,space,,49,key up,0.04379129409790039
1728382377.830902,space,,49,key down,
1728382377.885094,space,,49,key up,0.05419182777404785
1728382378.6938381,space,,49,key down,
1728382378.756153,space,,49,key up,0.06231498718261719
